"Hillnumber","Hillname","_Section","Classification","Metres","Feet","Gridref","Gridref10","Colgridref","Colheight","Drop","Feature","Observations","Survey","Revision","Comments","Map","Map25","Xcoord","Ycoord","Latitude","Longitude"
"2121","Cefn Gwyntog","30.5","sHew,N","615","2018","SH976265","SH 97603 26593","","588","27","cairn with upright stone","cairn at SH 97659 26624 and area at SH 97598 26692 of equal height","Abney level","28/10/01 00:00:00","","125","23E 239  ","297600","326589","52.82708","-3.52123"
"2122","Llechwedd Du","30.5","Hew,N","614","2014","SH894224","SH 89402 22398","","582","32","small cairn of white quartz","","","28/10/01 00:00:00","","124 125","23E   ","289399","322394","52.78776","-3.64147"
"2123","Foel Goch","30.5","Hew,N","612.65","2010","SH943290","SH 94341 29084","","566.7","46","no feature","ground 9m N of pile of stones","Abney level/Leica 530","08/06/09 00:00:00","","125","23E   ","294338","329080","52.84884","-3.57043"
"2124","Trum y Gwrgedd","30.5","sHew,N","611.1","2005","SH941284","SH 94117 28404","","585.1","26","no feature: ground a few metres W of fence","flat featureless summit area","Abney level/Leica 530","08/06/09 00:00:00","","125","23E   ","294114","328400","52.84267","-3.57353"
"2125","Pen y Cerrig Duon","30.5","xN","610","2001","SH953281","SH 95303 28116","","598","12","no feature","","Abney level","10/11/08 00:00:00","","125","23E   ","295301","328112","52.84032","-3.55583"
"2126","Glan Hafon","30.5","sHew,5","608","1995","SJ080272","SJ 08063 27289","SJ071278","524","84","grassy knoll next to fence","rocky knoll 110m W at SJ 07955 27240 is 14cm lower","Leica NA730","10/03/07 00:00:00","Relocated following survey","125","239 255  ","308061","327285","52.83522","-3.36622"
"2127","Foel Tyn-y-fron [Moel y Pawl][Cefn Coch]","30.5","sHew,5","606","1988","SH918257","","SH921263","559","47","","","","20/11/09 00:00:00","","125","23E   ","291800","325700","52.81796","-3.60698"
"2128","Moel yr Henfaes East Top","30.5","sHew,5","604","1982","SJ099374","SJ 09938 37408","","572","32","no feature: heathery top","","Abney level","10/11/08 00:00:00","","125","255","309936","337404","52.92648","-3.3412"
"2129","Y Gribin","30.5","sHew,5","602","1975","SH843177","SH 84354 17710","","567","35","no feature: round grassy top","","","28/10/01 00:00:00","","124 125","23E   ","284351","317706","52.74458","-3.71464"
"2130","Cefn Gwyntog North Top","30.5","xN","600","1969","SH975274","SH 97510 27480","","590","10","no feature; heather","flat featureless area of deep heather","Abney level","30/06/07 00:00:00","Bridge's top 250m north at SH976277 probably based on inaccurate mapping","125","23E 239  ","297508","327476","52.83503","-3.52287"
"2131","Rhialgwm","30.5","Ma,5","540","1772","SJ055211","SJ 05503 21179","SJ043217","315","225","trig point","","","28/10/01 00:00:00","","125","239","305501","321175","52.77987","-3.40244"
"2132","Gyrn Moelfre","30.5","Ma,5","523","1716","SJ184293","SJ 18444 29388","SJ178299","286","237","trig point: OS measurement","","","28/10/01 00:00:00","","125","255","318442","329384","52.85576","-3.21268"
"2133","Moel y Gwelltyn","30.5","sMa,Hu","382","1253","SJ170277","","SJ163282","239","143","","","","28/10/01 00:00:00","","125","239","317000","327700","52.84041","-3.23366"
"2134","Allt y Main","30.5","Ma","356","1168","SJ162151","SJ 16214 15148","SJ156156","185","171","trig point","","","28/10/01 00:00:00","","125","239","316211","315144","52.72744","-3.24215"
"2135","Mynydd-y-briw","30.5","Ma","341","1119","SJ174260","SJ 17407 26074","SJ175268","176","165","few small stones","","","10/03/07 00:00:00","","125","239","317405","326070","52.82582","-3.22724"
"2136","Y Golfa","30.5","Ma","341","1119","SJ182070","SJ 18252 07092","SJ166059","176","165","trig point","","","28/10/01 00:00:00","","125","216 239  ","318250","307088","52.65535","-3.20996"
"2137","Cadair Idris - Penygadair","30.6","Ma,Hew,N","893","2930","SH711130","SH 71116 13040","SH757139","285","608","trig point","","","28/10/01 00:00:00","","124","23W   ","271113","313036","52.69963","-3.90879"
"2138","Mynydd Moel","30.6","Hew,N","863","2831","SH727136","SH 72750 13683","","796","67","cairn on rocky outcrop","","","28/10/01 00:00:00","","124","23W   ","272747","313679","52.70579","-3.88488"
"2139","Cyfrwy","30.6","Hew,N","811","2661","SH703133","","","775","36","","","","28/10/01 00:00:00","","124","23W   ","270300","313300","52.7018","-3.92092"
"2140","Craig Cwm Amarch","30.6","Hew,N","791","2595","SH710121","SH 71065 12130","","712","79","cairn on rocky outcrop","","","28/10/01 00:00:00","","124","23W   ","271062","312126","52.69144","-3.90919"
"2141","Mynydd Pencoed","30.6","xN","765","2510","SH704117","","","753","12","","","","28/10/01 00:00:00","","124","23W   ","270400","311700","52.68745","-3.91881"
"2142","Craig Lwyd","30.6","xN","685","2247","SH714118","","","676","9","","","","28/10/01 00:00:00","","124","23W   ","271400","311800","52.68859","-3.90407"
"2143","Gau Graig","30.6","Hew,N","683","2241","SH744141","SH 74444 14104","","653","30","cairn","","","28/10/01 00:00:00","","124","23W   ","274441","314100","52.70997","-3.85998"
"2144","Mynydd Gwerngraig","30.6","xN","680","2231","SH736136","","","671","9","","","","28/10/01 00:00:00","","124","23W   ","273600","313600","52.70528","-3.87223"
"2145","Maesglase (West Top)","30.6","Ma,Hew,N","676","2218","SH817150","SH 81731 15038","SH802170","365","311","tiny flattened cairn","","","28/10/01 00:00:00","","124 125","23E   ","281728","315034","52.71999","-3.75249"
"2146","Maesglase (old GR) - Maen Du","30.6","xMa,xN","674","2211","SH822151","SH 82247 15176","","664","10","cairn","","","28/10/01 00:00:00","","124 125","23E   ","282244","315172","52.72136","-3.74492"
"2147","Waun-oer","30.6","Hew,N,Hu","670","2198","SH785147","SH 78555 14786","SH801143","551","119","rock within 1m of trig point","","obvious summit","20/11/09 00:00:00","","124","23E   ","278552","314782","52.71704","-3.7994"
"2148","Tarren y Gesail","30.6","Ma,Hew,N","667","2188","SH710058","SH 71053 05895","SH738093","204","463","no feature","50m E of trig point","","30/06/07 00:00:00","","124","23W   ","271050","305891","52.63542","-3.90693"
"2149","Craig-las [Tyrrau Mawr]","30.6","Hew,N,Hu","661","2169","SH677135","","SH691135","558","103","","","","20/11/09 00:00:00","","124","23W   ","267700","313500","52.70297","-3.95946"
"2150","Cribin Fawr","30.6","Hew,N","659","2162","SH794152","SH 79457 15290","","566","93","no feature","","obvious summit","28/10/01 00:00:00","","124","23E   ","279454","315286","52.72177","-3.78625"
"2151","Tarrenhendre","30.6","Ma,Hew,N","634","2080","SH682041","SH 68278 04156","SH702046","435","199","cairn on peat hag","","","28/10/01 00:00:00","B&L gives GR of cairn SH683039","135","23W   ","268275","304152","52.61913","-3.94722"
"2152","Craig-y-llyn","30.6","Hew,N,Hu","622","2041","SH665119","","SH669127","486","136","","","","20/11/09 00:00:00","","124","23W   ","266500","311900","52.6883","-3.97656"
"2153","Craig Portas","30.6","sHew,5","605","1985","SH801141","SH 80160 14129","","552","53","no feature","","","28/10/01 00:00:00","","124 125","23E   ","280157","314125","52.71148","-3.77541"
"2154","Ceiswyn","30.6","sMa,5,Hu","545","1788","SH745109","","SH758133","403","142","","","","28/10/01 00:00:00","","124","23W   ","274500","310900","52.68123","-3.85789"
"2155","Mynydd Cwmcelli","30.6","Ma","469","1539","SH804099","SH 80460 09957","SH810106","312","157","trig point: OS measurement","","","28/10/01 00:00:00","","124 125","23E 215W  ","280457","309953","52.67407","-3.76947"
"2156","Bryn Brith","30.6","sMa,Hu","383","1257","SH664153","","SH663144","234","149","","","","28/10/01 00:00:00","Twinned with hill 5622 (Pared y Cefn-hir, SH663149)","124","23W   ","266400","315300","52.71882","-3.97942"
"2157","Foel Cae'rberllan","30.6","Ma","380","1247","SH676082","SH 67632 08212","SH688082","169","211","rock by small cairn","about 1.5m higher than summit 280m E at SH 67909 08175","Abney level","28/10/01 00:00:00","","124","23W   ","267629","308208","52.65541","-3.95838"
"2158","Craig y Castell","30.6","Ma","321","1053","SH697161","","SH698153","168","153","","","","28/10/01 00:00:00","","124","18W 23W  ","269700","316100","52.72682","-3.93091"
"2159","Ffridd Cocyn","30.6","Ma","313","1027","SH624042","","SH670064","66","247","","","","28/10/01 00:00:00","","135","23W   ","262400","304200","52.6181","-4.03396"
"2160","Gamallt","30.6","Ma","288","945","SH665067","SH 66553 06763","SH642051","82","206","rocky, heathery knoll","in clearing of trees 70m SW of high point of fence","","28/10/01 00:00:00","","124","23W   ","266550","306759","52.64213","-3.97373"
"2161","Pumlumon Fawr [Plynlimon]","31.1","Ma,Hew,N,CoH,CoU","752","2467","SN789869","SN 78970 86943","SN869300","228","524","trig point","","","28/10/01 00:00:00","","135","213","278967","286939","52.46695","-3.78309"
"2162","Pen Pumlumon Arwystli","31.1","Hew,N","741","2431","SN814877","SN 81495 87755","SN808873","677","64","southerly of two ancient cairn","northerly cairn  is 40m away at SN 81520 87785","","10/03/07 00:00:00","","135 136","214W   ","281492","287751","52.4748","-3.74622"
"2163","Pen Pumlumon Llygad-bychan [Plynlimon East Top]","31.1","Hew,N","727","2385","SN799871","SN 79901 87159","SN794870","691","36","cairn","","","28/10/01 00:00:00","","135","213","279898","287155","52.46909","-3.76947"
"2164","Y Garn","31.1","Hew,N","684","2244","SN775851","SN 77565 85153","SN785853","628","56","cairn","","","28/10/01 00:00:00","","135","213","277562","285149","52.45055","-3.8031"
"2165","Pumlumon Fach","31.1","N","664","2178","SN787874","SN 78726 87437","SN787874","644","20","no feature","","","28/03/10 00:00:00","","135","213","278723","287433","52.47133","-3.78686"
"2166","Banc Llechwedd-mawr","31.1","Ma,5","560","1837","SN775898","","SN783920","399","161","","","","28/10/01 00:00:00","","135","213","277500","289800","52.49233","-3.80572"
"2167","Drosgol","31.1","Ma,5","550","1804","SN759878","SN 75963 87861","SN758891","355","195","cairn","","","28/10/01 00:00:00","","135","213","275960","287857","52.47452","-3.82767"
"2168","Carnedd Wen","31.1","Ma,5","523","1716","SH924099","SH 92408 09919","SH934138","295","228","trig point: OS measurement","","","15/01/03 00:00:00","","125","23E 215W  ","292405","309915","52.67623","-3.59282"
"2169","Disgwylfa Fawr","31.1","Ma,5","507","1663","SN737847","","SN736866","355","152","","","","28/10/01 00:00:00","","135","213","273700","284700","52.44564","-3.85973"
"2170","Bryn Amlwg","31.1","Ma","488","1601","SN921973","SN 92161 97345","SN879938","318","170","knoll 10m SE of trig point","trig point (SN 92155 97355) is lower and knoll 30m E of trig point could be as high","","28/10/01 00:00:00","","136","215W   ","292158","297341","52.56319","-3.59237"
"2171","Garreg-hir","31.1","Ma","485","1591","SN998977","SN 99892 97793","SH925031","334","151","trig point: OS measurement","","","28/10/01 00:00:00","","136","215E   ","299890","297789","52.5687","-3.47848"
"2172","Bryn y Fan","31.1","Ma","482","1581","SN931884","SN 93118 88503","SN927891","305","177","trig point","","","10/03/07 00:00:00","","136","214W   ","293115","288499","52.48392","-3.57541"
"2173","Esgair Ddu","31.1","Ma","464","1522","SH873106","SH 87330 10641","SH892084","242","222","no feature","highest point of longe ridge","","28/10/01 00:00:00","","124 125","23E   ","287327","310637","52.68169","-3.66815"
"2174","Stingwern Hill","31.1","Ma","358","1175","SJ132014","SJ 13285 01457","SO098997","178","180","trig point: OS measurement","","","28/10/01 00:00:00","","136","215E   ","313283","301453","52.60393","-3.28189"
"2175","Upper Park","31.1","Ma","352","1155","SJ189052","SJ 18973 05275","SJ166052","178","174","no feature","area in wood may be higher","","30/06/07 00:00:00","","125","216","318971","305271","52.63912","-3.19886"
"2176","Moel Bentyrch","30.5","sMa,Hu","338","1109","SJ055095","","SJ045093","196","142","","","","22/12/07 00:00:00","","125","215E 239  ","305500","309500","52.67495","-3.39909"
"2177","Cefn Coch [Ffridd Esgair-yr-owen]","31.1","sMa,Hu","285","935","SH815025","","SH835025","145","140","","","","28/10/01 00:00:00","","135 136","215W   ","281500","302500","52.60733","-3.75137"
"2178","Great Rhos","31.2","Ma,Hew,N,CoH","660","2165","SO182638","SO 18220 63902","SO178717","287","373","trig point","","Abney level","10/03/07 00:00:00","","148","200E   ","318218","263897","52.26714","-3.19983"
"2179","Black Mixen","31.2","Hew,N","650","2133","SO196643","SO 19651 64400","SO188650","605","45","trig point","","obvious summit","28/10/01 00:00:00","","148","200E   ","319649","264395","52.27183","-3.17899"
"2180","Great Creigau","31.2","xN","646","2119","SO198636","SO 19803 63643","","635","11","no feature: deep heather","","","08/06/09 00:00:00","","148","200E   ","319801","263638","52.26504","-3.17658"
"2181","Bache Hill","31.2","Hew,N","610","2001","SO213636","SO 21391 63649","SO204637","569","41","trig point","","obvious summit","28/10/01 00:00:00","","137 148","201N   ","321389","263644","52.26533","-3.15332"
"2182","Pegwn Mawr","31.2","Ma,5","586","1923","SO023812","SO 02394 81244","SN927801","286","300","ancient cairn","trig point 35m SW (SO 02362 81221) is 1.75m lower","Leica NA730","28/10/01 00:00:00","","136","214E   ","302391","281240","52.42044","-3.43675"
"2183","Beacon Hill","31.2","Ma,5","547","1795","SO176767","SO 17648 76798","SO082841","373","174","trig point","","obvious summit","28/10/01 00:00:00","","136 148","214E   ","317646","276793","52.38297","-3.21138"
"2184","Gwaunceste Hill","31.2","Ma,5","542","1778","SO158555","SO 15821 55555","SO172578","381","161","trig point","","","28/10/01 00:00:00","","148","200E   ","315819","255550","52.19175","-3.2329"
"2185","Llanfihangel Hill [Colva Hill]","31.2","sMa,5,Hu","532","1745","SO194553","SO 19449 55395","SO179553","386","146","trig point: OS measurement","","","28/10/01 00:00:00","","148","200E   ","319447","255390","52.19085","-3.1798"
"2186","Cilfaesty Hill","31.2","sMa,5,Hu","528","1732","SO128840","SO 12806 84086","SO120823","385","143","small mound topped with wood and refuse","","obvious summit","28/10/01 00:00:00","","136","214E   ","312804","284081","52.44772","-3.2844"
"2187","Corndon Hill","31.2","Ma,5","513","1683","SO306969","SO 30603 96927","SO326995","312","201","rock 2m from trig pillar","","Abney level","28/10/01 00:00:00","","137","216","330601","296923","52.5657","-3.02527"
"2188","Garreg Lwyd","31.2","Ma","498.1","1634","SN942733","SN 94217 73331","SN982751","293","205","tiny cairn","knoll 19m West is 1cm lower","Leica NA730/530","03/07/09 00:00:00","","136 147","214W   ","294214","273327","52.3478","-3.55443"
"2189","Gwastedyn Hill","31.2","Ma","477","1565","SN986661","SN 98683 66151","SN993686","235","242","cairn","highest point of hill","Leica Runner 20","28/10/01 00:00:00","","136 147","200W   ","298681","266146","52.28409","-3.48671"
"2190","Gwastedyn Hill","31.2","xMa","476","1562","SN982663","SN 98203 66311","SN983662","458","18","rock 10m from large 3m high cairn","lower than hill 2189 SN 98683 66150 by 1.4m","Leica Runner 20","28/03/10 00:00:00","Given in 2006 RHB update sheet as of equal height to hill 2189","136 147","200W   ","298201","266306","52.28544","-3.4938"
"2191","Gamallt","31.2","sMa,Hu","474.5","1557","SN955709","SN 95543 70943","SN 97884 70820","327.2","147.4","small rib of rock","ground 25m W at SN 95520 70943 is 20cm lower","Abney level/Leica 530","28/10/01 00:00:00","SubMarilyn status confirmed by survey","136 147","200W   ","295541","270938","52.32658","-3.53421"
"2192","Cefn Cenarth","31.2","Ma","460","1509","SN969762","","SN962763","305","155","","","","28/10/01 00:00:00","","136 147","214W   ","296900","276200","52.37412","-3.5159"
"2193","Aberedw Hill","31.2","Ma","451","1480","SO084507","SO 08446 50780","SO086534","224","227","cairn","","","28/10/01 00:00:00","Alternative summit at SO087504 (hill 2194)","147","188 200E  ","308444","250775","52.14765","-3.33947"
"2194","Aberedw Hill","31.2","","451","1480","SO087504","SO 08787 50495","","","","no feature","","","08/06/09 00:00:00","Alternative summit at SO084507 (hill 2193) - given as example only in RHB update sheet","147","188 200E  ","308785","250490","52.14515","-3.33442"
"2195","Carneddau","31.2","Ma","445","1460","SO069551","SO 06992 55200","SO071559","239","206","rock","","","28/10/01 00:00:00","","147","200E   ","306990","255195","52.18714","-3.36193"
"2196","Rhiw Gwraidd","31.2","Ma","442","1450","SO009634","SO 00984 63408","SO007647","228","214","small pile of stones on knoll by fence","summit of equal height to SO 01612 63437 to within 5cm","Leica Runner 20","10/03/07 00:00:00","Alternative summit at SO016634 (hill 2197)","147","200E   ","300982","263403","52.25986","-3.45219"
"2197","Rhiw Gwraidd","31.2","","442","1450","SO016634","SO 01612 63437","","","","small cairn with protuding pipe","summit of equal height to SO 00984 63408 to within 5cm","Leica Runner 20","08/06/09 00:00:00","Alternative summit at SO009634 (hill 2196) - given as example only in RHB update sheet","147","200E   ","301610","263432","52.26024","-3.443"
"2198","Gilwern Hill","31.2","sMa,Hu","439","1440","SO098582","SO 09894 58296","SO144609","295","144","trig point: OS measurement","","","15/01/03 00:00:00","","147","200E   ","309892","258291","52.21545","-3.32032"
"2199","The Begwns","31.2","Ma","415","1362","SO155444","SO 15505 44410","SO204490","258","157","highest point in trees of roundabout","","","28/10/01 00:00:00","","148 161","13N 188  ","315503","244405","52.09152","-3.23478"
"2200","Long Mountain - Beacon Ring","31.2","Ma","408","1339","SJ264058","SJ 26476 05824","SJ288021","103","305","ground 4m NE of trig point","40cm higher than trig point: embankment lower although tree cover hampered measurement","Abney level","28/10/01 00:00:00","","126","216","326474","305820","52.64513","-3.08813"
"2201","Moel y Golfa","31.2","Ma","403","1322","SJ290125","SJ 29077 12533","SJ329120","142","261","rock on knoll 20m NNE of memorial","knoll 45m SSW at SJ 29050 12495 is 10cm lower","Leica NA730","28/03/10 00:00:00","","126","240","329075","312529","52.70543","-3.05153"
"2202","Caeliber Isaf","31.2","Ma","355","1165","SO211933","SO 21116 93393","SO204908","183","172","arable field","","","28/10/01 00:00:00","","137","216","321114","293389","52.53265","-3.16437"
"2203","Drygarn Fawr","31.3","Ma,Hew,N","645","2116","SN862584","SN 86291 58413","SN856756","391","254","large cairn 65m NE of trig point","trig point is at SN 86225 58380; note cairn 500m NE at SN 86760 58580 is lower","","10/03/07 00:00:00","","147","187N 200W  ","286288","258408","52.21213","-3.6657"
"2204","Gorllwyn","31.3","Hew,N","613","2011","SN917590","SN 91794 59051","SN894583","525","88","trig point in shelter","","","28/10/01 00:00:00","","147","200W   ","291791","259046","52.21897","-3.5854"
"2205","Pen y Garn","31.3","Ma,Hew,N","610","2001","SN798770","SN 79844 77083","SN798840","417","193","trig point by windshelter","ground by gate 65m N at SN 79855 77150 is probably higher","","28/10/01 00:00:00","","135 147","213","279841","277078","52.37853","-3.76668"
"2206","Y Gamriw","31.3","sHew,5","604","1982","SN944611","SN 94405 61191","SN928605","555","49","ancient cairn 270m W of trig point","","","28/10/01 00:00:00","","147","200W   ","294402","261186","52.23871","-3.54786"
"2207","Llan Ddu Fawr [Waun Claerddu]","31.3","Ma,5","594","1949","SN790704","SN 79079 70427","SN796669","426","168","cairn","","","20/11/09 00:00:00","","135 147","213","279076","270422","52.31855","-3.77551"
"2208","Foel Cwmcerwyn","31.3","Ma,5,CoH,CoU","536","1759","SN094311","SN 09409 31159","SN254317","192","344","trig point","","obvious summit","28/10/01 00:00:00","","145","35E   ","209406","231154","51.94616","-4.77458"
"2209","Pen y Garn-goch","31.3","Ma","487","1598","SN884502","SN 88484 50290","SN870535","325","162","highest of several cairns","","","28/10/01 00:00:00","","147","187N 187S  ","288481","250285","52.13958","-3.63095"
"2210","Carn Gafallt","31.3","Ma","466","1529","SN940646","SN 94008 64649","SN936638","309","157","","","","28/10/01 00:00:00","","147","200W   ","294005","264644","52.26971","-3.55476"
"2211","Crugiau Merched","31.3","Ma","462","1516","SN722455","SN 72228 45560","SN723462","257","205","trig point: OS measurement","","","28/10/01 00:00:00","","146 147","187S   ","272225","245555","52.09355","-3.86658"
"2212","Mynydd Pencarreg","31.3","sMa,Hu","415","1362","SN575432","SN 57569 43228","SN599443","274","141","trig point: OS measurement","","","28/10/01 00:00:00","","146","186 199  ","257566","243223","52.06902","-4.07945"
"2213","Frenni Fawr","31.3","Ma","395","1296","SN203349","SN 20303 34916","SN184341","218","177","no feature: 3m W of trig point","","Abney level","10/11/08 00:00:00","","145","185","220300","234911","51.98353","-4.61822"
"2214","Hafod Ithel","31.3","Ma","361","1184","SN610677","SN 61065 67799","SN643687","206","155","trig point: OS measurement","","","28/10/01 00:00:00","","135","199","261062","267794","52.29068","-4.03855"
"2215","Mynydd Carningli","31.3","Ma","346","1135","SN062372","","SN058352","114","232","","","","28/10/01 00:00:00","","145","35E   ","206200","237200","51.99934","-4.82458"
"2216","Fforest","31.3","sMa,Hu","341","1119","SN777393","SN 77781 39335","SN783413","199","142","trig point: OS measurement","","","28/10/01 00:00:00","","146 160","187S   ","277778","239330","52.03887","-3.78334"
"2217","Moelfre","31.3","Hu,xsMa","335","1099","SN326360","","SN418337","230","105","","","","20/11/09 00:00:00","Listed in TACit (1997) as a SubMarilyn and later deleted","145","185","232600","236000","51.99715","-4.43982"
"2218","Dinas","31.3","sMa,Hu","331","1086","SN782466","","SN787467","186","145","","","","28/10/01 00:00:00","","146 147","187S   ","278200","246600","52.10429","-3.77978"
"2219","Mynydd Cynros","31.3","Ma","329","1079","SN620326","SN 62058 32690","SN633328","108","221","trig point","","","28/10/01 00:00:00","","146","186","262055","232685","51.97547","-4.00975"
"2220","Mynydd Figyn","31.3","sMa,Hu","328","1076","SN595307","SN 59594 30780","SN608316","188","140","no feature: by fence at edge of field above road","","","08/06/09 00:00:00","","146","186","259591","230775","51.95769","-4.04482"
"2221","Rhos Ymryson","31.3","Ma","327","1073","SN459500","","SN618580","163","164","","","","28/10/01 00:00:00","","146","198E","245900","250000","52.12678","-4.25258"
"2222","Pen-crug-melyn","31.3","Ma","326","1070","SN502285","SN 50273 28508","SN487293","142","184","trig point: OS measurement","","","28/10/01 00:00:00","","146","186","250270","228503","51.93485","-4.17937"
"2223","Garn Fawr","31.3","sMa,Hu","213","699","SM895388","SM 89588 38875","SM930350","71","142","trig point: OS measurement","","","28/10/01 00:00:00","","157","35W   ","189585","238870","52.00829","-5.06728"
"2224","Brandy Hill","31.3","Ma","205","673","SN213133","SN 21345 13387","SN142180","54","151","trig point","outside United Utilities fenced rectangle at SE corner - between high fence and field fence","","28/10/01 00:00:00","Twinned with hill 2225","158","177","221342","213382","51.7905","-4.59191"
"2225","Middleton Hill","31.3","Ma=","205","673","SN146117","SN 14650 11779","SN186129","162","43","trig point: OS measurement","","","10/03/07 00:00:00","Twinned with hill 2224","158","36E   ","214647","211774","51.77388","-4.68802"
"2226","Pen y Fan","32.1","Ma,Hew,N,CoH,CoA,CoU","886","2907","SO012215","SO 01205 21586","SN930998","215","671","large cairn","","","28/10/01 00:00:00","","160","12E   ","301203","221581","51.88401","-3.43683"
"2227","Corn Du","32.1","sHew,N","873","2864","SO007213","SO 00720 21334","SO009213","845","28","large cairn","","","28/10/01 00:00:00","","160","12E   ","300718","221329","51.88166","-3.4438"
"2228","Duwynt","32.1","xN","824","2703","SO005206","","","815","9","","","","28/10/01 00:00:00","","160","12E   ","300500","220600","51.87507","-3.44676"
"2229","Waun Fach","32.1","Ma,Hew,N","811","2661","SO215299","SO 21553 29988","SO112259","189","622","no feature","ground 20m NE of trig point base.  Note trig point (SO 21540 29975) no longer exists.","Abney level","10/03/07 00:00:00","","161","13N   ","321551","229983","51.96278","-3.14318"
"2230","Fan Brycheiniog","32.1","Ma,Hew,N","802","2631","SN825217","SN 82534 21795","SN870195","379","423","trig point","cairn 290m NNE may be higher, but at limit of resolution of Abney","Abney level","28/10/01 00:00:00","Alternative summit at SN824220 (hill 5603)","160","12W   ","282531","221790","51.88227","-3.70807"
"2231","Pen y Gadair Fawr","32.1","Hew,N","800","2625","SO229287","SO 22945 28763","SO226293","753","47","cairn","","obvious summit","28/10/01 00:00:00","","161","13N   ","322943","228758","51.95196","-3.12265"
"2232","Cribyn","32.1","Hew,N,Hu","795","2608","SO023213","SO 02389 21314","SO019211","665","130","small cairn","","","28/10/01 00:00:00","","160","12E   ","302387","221309","51.88178","-3.41956"
"2233","Waun Rydd","32.1","Ma,Hew,N","769","2523","SO062206","SO 06212 20694","SO031205","599","170","no feature","","","28/10/01 00:00:00","","160","12E   ","306210","220689","51.87686","-3.36386"
"2234","Fan Hir","32.1","Hew,N","761","2497","SN830209","SN 83092 20929","SN829212","718","43","no feature","","Abney level","28/10/01 00:00:00","","160","12W   ","283089","220924","51.8746","-3.69967"
"2235","Bwlch y Ddwyallt [Gwaun Cerrig Llwydion]","32.1","N","754","2474","SO054203","SO 05489 20372","","739","15","no feature","","","10/11/08 00:00:00","","160","12E   ","305487","220367","51.87384","-3.37428"
"2236","Bannau Sir Gaer - Picws Du","32.1","Hew,N","749","2457","SN811218","SN 81174 21864","SN816217","656","93","cairn","","obvious summit","28/10/01 00:00:00","","160","12W   ","281171","221859","51.8826","-3.72784"
"2237","Fan Fawr","32.1","Ma,Hew,N","734","2408","SN969193","SN 96988 19368","SN982203","439","295","no feature: 6m WNW of cairn","","Abney level","28/10/01 00:00:00","","160","12E   ","296986","219363","51.86331","-3.49742"
"2238","Fan Gyhirych","32.1","Ma,Hew,N","725","2379","SN880191","SN 88057 19126","SN924196","445","280","no feature 50m N of trig","trig point is at SN 88058 19077","Abney level","28/10/01 00:00:00","","160","12W   ","288055","219121","51.85942","-3.62698"
"2239","Pen Allt-mawr","32.1","Hew,N,Hu","720","2362","SO206243","SO 20697 24307","SO 20445 28622","618","102","no feature 30m S of trig point","ground higher than base of trig point at SO 20691 24334, but ground within 10m of trig point couls also be as high","Abney level","20/11/09 00:00:00","","161","13N 13S  ","320695","224302","51.91159","-3.15433"
"2240","Fan y Big","32.1","Hew,N","719","2359","SO036206","SO 03651 20672","SO037198","689","30","no feature","","obvious summit","28/10/01 00:00:00","","160","12E   ","303649","220667","51.87622","-3.40105"
"2241","Rhos Dirion","32.1","sHew,N","713","2339","SO211333","SO 21157 33391","SO205325","691","22","no feature 20m SE of trig point at SO 21149 33406","","","28/10/01 00:00:00","","161","13N   ","321155","233386","51.99331","-3.14973"
"2242","Black Mountain","32.1","Ma,Hew,N,CoH,CoA,CoU","703","2306","SO255350","SO 25588 35051","SO235352","549","154","two stones by path","ground 130m S is probably lower","","28/10/01 00:00:00","","161","13N   ","325586","235046","52.00884","-3.08557"
"2243","Pen Cerrig-calch","32.1","Hew,N","701","2300","SO216224","SO 21655 22419","SO212228","649","52","ancient cairn","higher than trig point at SO 21707 22368 and ground 90m SE at SO 21722 22360","Abney level","28/10/01 00:00:00","","161","13S   ","321653","222414","51.89475","-3.13997"
"2244","Twmpa","32.1","Hew,N","690","2264","SO224350","SO 22482 35062","SO219344","611","79","cairn","","","28/10/01 00:00:00","","161","13N   ","322480","235057","52.00852","-3.13081"
"2245","Chwarel y Fan","32.1","Hew,N,CoH,CoA,CoU","679","2228","SO258294","SO 25819 29417","SO243308","607","72","cairn","two knolls to SE are just lower","Abney level","30/06/07 00:00:00","","161","13N   ","325817","229412","51.95823","-3.08098"
"2246","Waun Lefrith","32.1","N","677","2221","SN798214","SN 79836 21455","","662","15","cairn","","obvious summit","10/03/07 00:00:00","","160","12W   ","279833","221450","51.87864","-3.74713"
"2247","Hay Bluff","32.1","xN","677","2221","SO244366","SO 24433 36633","","666","11","trig point: OS measurement","","","28/10/01 00:00:00","","161","13N   ","324431","236628","52.02291","-3.10274"
"2248","Fan Fraith","32.1","N","668","2192","SN887183","SN 88756 18336","","653","15","small cairn on peat hag","alternative summit 100m NNE at SN 88800 18427","Abney level","28/10/01 00:00:00","","160","12W   ","288753","218331","51.85246","-3.6166"
"2249","Fan Nedd","32.1","Ma,Hew,N","663","2175","SN913184","SN 91333 18412","SN904193","489","174","trig point: OS measurement","","","28/10/01 00:00:00","","160","12E   ","291331","218407","51.85365","-3.57921"
"2250","Mynydd Llysiau","32.1","Hew,N","663","2175","SO207279","SO 20707 27947","SO211267","623","40","cairn","SE summit is lower","Abney level","28/10/01 00:00:00","","161","13N   ","320705","227942","51.94431","-3.15502"
